hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,condition_encoded
13,189,1005.23,21.09,52.42,25.56,3.086,30.192,15.0,2
10,219,831.85,25.98,51.56,37.47,2.889,30.796,15.0,4
3,215,14.82,16.19,15.01,98.08,3.243,28.419,0.0,2
8,163,548.86,20.76,37.72,58.0,3.21,28.967,15.0,0
18,188,212.03,17.8,25.3,76.12,2.793,29.285,14.3529,2
17,307,241.5,28.74,35.44,67.7,3.422,29.587,5.9931,4
19,349,2.45,27.73,26.96,87.15,5.398,18.562,0.9702,3
21,323,5.34,24.44,23.94,97.65,3.758,19.158,1.073,3
11,125,957.32,25.79,55.23,30.63,1.234,3.779,15.0,1
4,264,0.0,19.09,19.2,98.62,4.325,29.267,0.0,4
11,330,535.7,34.29,51.03,40.9,1.322,31.076,10.8774,4
3,212,2.67,12.62,13.6,96.56,0.559,28.622,0.0154,0
15,194,728.45,20.97,45.46,44.39,3.348,29.291,15.0,2
18,295,144.07,28.21,32.79,82.56,3.459,5.196,2.7841,1
14,180,904.16,23.0,50.24,35.51,1.953,30.367,15.0,2
5,7,4.86,28.38,27.73,91.97,2.218,29.218,0.0307,2
1,6,11.57,24.39,24.51,92.48,5.947,28.935,0.5521,2
15,235,644.25,25.26,45.54,49.81,4.784,29.98,15.0,4
4,179,0.0,10.77,10.16,96.49,0.762,27.822,0.1862,2
10,114,765.45,21.33,44.78,35.46,3.344,4.032,15.0,1
15,290,493.4,28.46,42.16,45.37,0.119,29.065,15.0,0
18,307,159.49,27.86,32.58,72.63,1.102,28.247,8.8917,2
2,160,5.27,14.13,14.49,92.86,0.997,29.458,1.4005,2
12,192,1019.01,24.31,56.95,32.36,2.487,30.229,15.0,0
1,141,0.0,13.77,13.09,96.88,2.745,29.269,0.3426,2
3,128,13.15,18.27,19.48,93.78,1.474,26.514,0.2089,0
16,165,565.12,20.2,37.21,55.71,4.957,27.709,15.0,2
18,223,213.38,18.91,24.88,77.6,0.835,30.005,13.5341,2
15,74,528.55,27.31,44.4,47.49,5.276,30.423,15.0,0
10,69,630.86,25.6,44.28,40.99,1.994,28.285,14.9189,4
20,248,6.8,18.31,18.29,90.13,1.584,4.918,0.0051,1
14,269,629.53,27.26,47.06,39.97,0.812,28.313,15.0,2
16,219,507.22,21.49,35.65,53.72,3.169,19.338,15.0,3
20,144,1.87,16.69,16.71,93.67,1.264,26.26,0.1723,2
15,61,497.27,27.54,43.57,44.85,3.026,29.415,11.3868,4
23,154,14.91,13.6,15.09,100.0,1.632,30.358,0.2825,4
13,146,990.65,20.73,51.19,35.32,2.292,31.772,15.0,2
10,332,485.83,33.47,49.96,44.83,6.051,30.512,15.0,2
8,15,285.59,32.93,41.79,59.08,2.935,29.408,15.0,2
8,140,533.16,23.81,42.1,51.53,1.467,29.88,15.0,2
12,18,561.91,30.43,47.69,36.31,3.379,28.77,15.0,2
16,194,543.29,21.19,39.8,48.06,5.185,29.641,13.8504,4
8,201,504.86,20.49,37.79,53.51,1.961,5.413,13.8889,1
10,337,467.05,32.87,47.2,39.19,3.62,30.054,15.0,2
23,264,21.9,19.78,20.34,91.26,4.823,30.841,0.7363,2
22,220,5.03,14.84,14.8,97.0,2.878,27.722,0.5803,2
12,1,530.74,32.2,49.27,42.31,2.765,28.407,15.0,2
17,222,337.13,22.4,32.38,72.34,2.26,29.147,8.7757,4
5,305,10.95,25.9,26.11,85.83,0.88,27.5,1.4332,2
15,106,608.94,25.84,45.57,46.91,1.025,32.008,15.0,2
15,134,670.59,21.97,43.06,47.79,3.342,29.82,15.0,2
21,265,0.0,18.95,19.62,93.27,5.996,29.388,0.1755,2
8,76,376.93,24.92,36.61,55.28,2.74,31.151,14.4092,0
5,78,6.6,26.05,26.19,86.51,2.97,28.504,0.2244,2
22,169,0.0,14.9,15.83,93.24,3.91,27.746,0.3199,2
20,46,21.06,25.8,26.34,98.85,2.342,28.311,0.0,2
4,172,0.38,15.21,16.2,95.7,2.268,28.867,0.3763,0
8,67,368.47,29.21,39.88,60.49,0.867,29.879,9.0118,4
9,128,671.91,25.29,46.71,43.76,0.879,28.548,15.0,2
3,325,0.0,23.15,23.32,89.64,3.936,28.767,0.9771,4
13,253,823.08,25.82,51.03,34.02,0.869,28.464,15.0,4
14,201,847.71,22.12,49.85,35.45,2.707,30.409,15.0,2
8,203,537.29,20.69,39.46,54.65,3.252,30.052,15.0,2
5,124,23.21,17.55,17.46,86.83,4.142,26.779,0.0357,0
10,116,797.07,26.9,51.66,34.75,3.763,30.524,15.0,2
11,95,836.28,25.47,51.32,32.98,4.883,31.617,15.0,4
16,170,576.52,20.92,39.78,55.2,2.668,30.8,15.0,0
23,285,0.0,22.4,22.81,98.34,2.496,29.066,0.556,2
2,77,0.0,20.67,22.14,91.1,3.619,29.081,0.0,2
10,47,529.87,29.75,46.79,41.42,0.811,29.823,15.0,2
20,288,26.2,22.03,21.09,96.71,2.759,28.518,0.2997,0
23,286,13.5,18.84,19.21,100.0,1.465,28.192,0.7574,4
16,157,549.2,18.55,35.71,58.6,2.359,30.015,15.0,2
0,21,20.68,24.75,25.39,94.71,1.437,15.196,1.7405,3
18,186,245.23,18.91,26.62,74.92,2.086,30.888,9.4663,0
15,155,727.7,21.36,44.85,47.51,2.569,30.566,15.0,4
17,207,355.57,22.3,32.42,66.04,4.225,30.466,15.0,2
22,82,0.0,20.17,19.53,96.48,0.759,3.718,0.2175,1
11,131,949.58,25.22,54.81,36.5,1.601,31.665,15.0,0
21,282,4.22,22.04,22.52,100.0,1.826,4.69,3.0147,1
22,168,3.63,15.62,15.85,94.31,0.453,27.026,0.0235,4
5,290,0.0,22.1,22.45,92.82,1.681,28.591,0.4356,2
19,56,1.26,24.65,24.92,95.21,2.681,28.854,0.0269,2
23,305,0.0,19.85,19.7,90.92,5.056,29.832,0.0,2
4,99,7.51,19.52,18.03,94.49,4.65,27.477,0.2232,2
9,345,372.16,29.33,40.16,43.7,1.212,31.464,15.0,2
8,326,298.98,31.86,40.95,60.48,2.406,28.71,7.0746,4
4,6,2.12,22.61,21.76,100.0,3.201,4.389,0.7308,1
3,330,9.39,21.34,21.39,97.63,1.386,28.372,0.4348,2
20,341,7.93,23.89,24.9,99.65,6.283,29.682,0.1245,2
20,218,7.98,19.63,19.73,94.82,1.085,17.479,0.6637,3
7,255,280.22,24.04,33.37,64.61,1.293,30.613,15.0,2
22,155,0.0,13.32,13.97,92.52,2.259,29.759,0.0,0
13,267,723.17,27.29,49.79,33.5,1.487,28.958,15.0,0
3,27,13.06,22.82,24.38,95.52,2.376,29.624,0.3929,0
2,208,6.85,14.92,14.66,97.63,1.559,28.997,0.3528,2
15,316,399.45,28.71,42.37,46.45,2.184,29.934,9.2007,4
18,254,209.43,24.1,28.99,78.31,0.289,29.577,12.3951,2
18,317,153.42,26.1,30.79,75.72,1.496,28.759,8.9711,2
19,336,5.72,21.58,22.41,88.43,1.047,29.986,0.0,2
1,241,1.34,17.15,17.57,92.43,2.103,28.86,0.2974,2
10,126,811.42,21.81,47.36,39.1,1.727,32.226,15.0,2
19,218,0.0,17.86,17.73,90.61,0.423,28.612,0.0,2
17,168,379.97,17.07,29.18,66.75,1.96,28.806,15.0,2
2,109,0.0,16.55,15.6,94.69,3.074,28.089,0.0796,2
23,137,21.66,12.14,12.43,98.34,2.691,29.388,0.0878,2
9,195,667.97,21.93,42.79,46.36,3.404,29.898,15.0,2
19,132,5.84,18.48,19.07,88.24,2.008,28.155,0.0517,2
22,79,0.0,18.05,17.62,98.26,3.182,28.588,0.0,4
18,251,156.57,22.75,27.83,74.41,2.601,28.324,9.4859,2
11,312,568.34,30.98,49.53,42.81,1.656,29.752,15.0,2
2,131,0.0,13.96,14.29,96.31,3.23,28.49,0.1158,0
8,69,369.35,24.4,35.2,54.55,6.177,29.005,8.6461,4
11,3,531.98,34.62,50.31,37.17,3.107,29.315,15.0,2
1,318,0.0,20.41,20.18,93.61,3.6,28.557,0.0,2
13,230,905.78,28.97,57.18,32.78,1.234,30.509,15.0,2
5,93,20.0,20.82,20.47,93.95,1.208,28.504,0.6603,0
16,326,285.2,30.06,38.6,58.25,1.019,3.146,9.8991,1
19,96,5.34,22.44,21.74,87.33,2.837,29.54,0.0296,2
9,214,659.07,22.73,44.38,44.24,1.243,27.782,15.0,2
8,40,334.47,29.58,40.51,55.84,2.833,5.12,9.9407,1
5,210,11.68,14.5,14.67,88.42,3.811,29.48,0.7347,2
8,312,284.9,28.1,36.72,55.52,4.033,30.527,15.0,2
5,73,6.53,21.28,20.49,89.58,2.206,27.727,0.0,4
9,131,690.42,25.82,47.31,48.73,3.832,4.981,15.0,1
9,354,322.74,32.35,42.63,49.76,3.919,30.86,7.1125,4
20,143,21.29,13.58,15.22,100.0,3.923,29.217,1.3547,2
16,187,531.56,20.52,37.41,56.89,1.297,30.379,15.0,0
11,324,506.94,31.26,47.31,39.01,1.104,4.589,15.0,1
17,349,207.86,30.64,36.76,69.48,3.795,28.965,8.1555,0
5,17,3.06,27.5,26.65,90.03,3.955,28.736,0.4499,2
6,89,202.39,25.26,31.28,81.91,2.833,28.416,5.3036,4
20,166,6.74,15.93,15.47,94.08,0.694,3.999,0.0,1
6,311,108.07,29.06,32.57,80.84,2.486,28.585,6.8743,2
7,78,289.3,22.64,31.48,67.88,3.916,30.678,7.6792,4
11,313,592.03,35.95,53.5,39.9,0.434,29.453,15.0,0
5,325,0.0,27.66,27.23,84.72,3.011,28.882,0.0226,2
2,9,4.72,22.9,23.21,95.8,2.531,29.924,0.1569,4
13,38,586.44,29.48,48.6,36.74,3.431,27.63,15.0,2
13,196,984.3,23.78,54.87,36.98,1.452,29.372,15.0,2
14,198,849.54,22.54,49.16,37.87,3.304,30.967,15.0,2
12,351,536.33,33.04,48.63,35.68,2.846,4.056,15.0,1
23,145,0.0,15.02,14.1,93.66,0.6,20.42,0.4919,3
8,356,264.63,32.27,40.24,53.29,0.919,28.583,15.0,2
10,39,519.77,30.15,47.32,41.28,1.936,30.468,15.0,2
20,361,1.58,24.75,25.5,92.74,3.855,29.426,0.0016,2
12,242,898.11,26.23,53.99,30.28,1.846,30.086,15.0,0
3,263,0.0,19.58,18.94,95.0,4.732,17.003,1.0721,3
17,312,228.57,28.55,35.84,70.21,1.085,29.035,5.648,4
12,266,715.79,26.24,48.84,40.25,2.029,29.227,15.0,4
2,16,29.82,25.59,26.86,97.97,1.584,29.073,2.09,2
5,21,0.96,25.29,25.98,91.86,1.266,17.714,0.134,3
2,42,0.0,20.03,20.88,93.95,1.873,31.148,0.0966,2
16,72,379.71,28.14,40.84,58.39,2.006,30.059,8.9635,4
9,245,606.72,26.45,44.93,50.22,3.988,28.557,14.8144,4
22,360,12.19,20.9,20.22,89.82,0.885,29.574,0.6503,0
19,73,0.0,23.61,23.85,93.41,2.891,27.852,0.9297,2
14,221,821.61,23.9,48.94,42.12,1.161,30.301,15.0,2
16,77,416.84,27.59,40.46,53.28,3.168,30.04,9.2494,4
10,213,813.57,23.72,47.94,35.36,2.165,29.973,15.0,2
6,233,199.53,18.55,24.54,75.49,3.602,18.13,8.2032,3
15,277,492.7,27.46,43.55,47.73,0.929,5.676,13.6027,1
21,182,0.0,15.39,16.1,98.29,3.378,28.195,0.1012,2
4,183,8.79,12.95,12.99,98.9,5.644,29.249,0.0161,2
22,223,32.31,15.27,15.18,94.09,3.442,28.292,0.7829,4
5,320,0.0,25.75,25.58,88.48,1.271,30.571,0.3175,2
3,303,2.04,22.57,23.06,94.25,4.387,29.34,0.1559,2
3,340,15.43,26.15,26.54,91.4,1.771,29.391,0.0,2
20,248,0.0,18.86,18.2,95.59,2.393,29.48,0.0241,2
9,265,550.33,27.46,44.53,51.14,1.891,15.629,15.0,3
13,307,572.09,30.78,48.39,29.54,2.543,29.295,15.0,0
7,338,205.58,27.89,33.75,67.25,1.212,29.95,12.0448,2
23,140,10.77,10.18,11.69,96.51,3.548,4.205,3.2633,1
18,5,114.95,26.78,32.02,73.94,3.787,29.404,7.7739,2
7,89,293.74,22.96,31.13,65.63,4.205,17.251,11.9056,3
19,345,11.37,29.43,29.64,92.27,1.687,28.41,0.5067,4
19,84,13.95,22.44,20.8,85.65,2.174,18.954,0.2003,3
2,316,0.0,22.4,22.69,93.87,3.698,27.688,0.0596,2
12,233,923.51,24.19,51.75,29.53,7.423,30.58,15.0,2
7,149,381.78,18.54,29.68,67.92,1.889,29.967,15.0,2
5,35,0.0,24.82,25.11,86.93,1.982,28.53,0.2786,2
10,321,471.17,30.34,44.89,42.05,3.486,28.477,15.0,2
8,153,532.28,20.16,36.73,50.55,4.753,30.794,15.0,0
15,127,668.82,26.23,48.03,47.4,0.879,31.716,15.0,2
15,32,394.53,29.79,41.09,52.43,1.08,29.794,9.6977,4
4,133,23.91,15.5,17.42,93.47,3.03,27.771,1.3468,2
20,334,0.0,23.51,23.08,95.13,2.125,29.761,0.1951,4
4,260,15.17,18.73,19.24,95.06,1.819,28.65,0.0,4
21,92,7.11,20.21,19.61,91.8,0.616,28.402,0.164,2
13,100,831.56,26.03,52.12,33.95,1.528,32.249,15.0,2
17,324,211.25,25.19,32.17,69.39,3.362,28.668,5.1246,4
5,355,0.0,28.0,27.79,80.39,2.89,28.021,0.0865,4
10,184,899.56,24.17,53.41,34.19,5.044,30.069,15.0,4
19,129,0.0,17.19,17.67,89.02,3.65,27.886,0.1654,2
17,44,253.51,26.62,34.62,72.42,2.918,17.887,9.0509,3
3,96,13.74,19.61,19.57,95.74,3.479,26.65,0.0,2
8,20,294.66,30.59,40.42,55.78,0.674,19.008,10.9105,3
21,155,1.87,13.69,14.44,93.82,2.322,26.832,0.2385,2
4,126,8.41,17.61,18.39,96.16,1.588,29.252,0.5649,2
14,112,761.03,24.88,48.14,33.95,2.671,29.656,15.0,2
9,267,512.45,27.2,43.6,49.89,2.218,29.888,15.0,2
23,226,0.0,15.49,14.89,91.53,1.123,28.284,0.0352,4
7,254,295.72,25.02,34.06,65.33,1.368,29.07,15.0,2
21,45,0.0,22.98,22.4,91.11,0.729,27.267,0.0112,2
23,282,12.61,20.4,21.06,97.14,0.585,29.413,1.0554,2
10,12,466.45,32.84,47.13,42.48,2.385,29.879,9.9315,4
17,243,297.57,23.49,32.73,63.97,1.8,19.644,9.6264,3
16,99,435.73,23.64,38.51,61.45,2.443,18.538,15.0,3
9,356,369.63,30.86,42.42,46.62,1.572,30.052,15.0,2
3,132,28.86,16.51,16.69,94.65,5.595,27.479,0.699,0
12,212,1014.86,28.12,60.58,26.69,3.865,30.823,15.0,2
3,233,2.6,13.78,15.66,93.08,2.566,29.848,0.086,0
20,65,12.74,19.84,20.54,93.09,2.341,29.086,1.3037,0
1,165,0.0,14.51,14.85,97.32,3.592,13.501,0.7634,3
1,149,0.0,16.09,17.54,95.27,1.04,28.94,0.0,4
9,358,355.4,30.42,42.02,48.94,4.246,30.669,15.0,2
12,262,786.34,26.97,49.87,36.56,3.846,30.496,15.0,2
21,160,19.11,14.55,14.18,99.73,3.567,3.918,0.0764,1
15,6,395.21,32.56,43.67,52.39,2.278,29.146,15.0,2
22,16,0.0,21.7,21.12,96.71,6.305,29.914,0.0113,2
7,134,369.83,19.44,32.17,66.69,3.07,31.587,15.0,2
11,304,621.13,31.77,51.33,37.77,2.924,30.128,15.0,2
6,39,108.02,25.19,28.34,81.16,2.548,15.683,6.0529,3
10,96,697.14,25.99,47.8,40.16,1.317,29.448,15.0,4
4,166,3.15,14.71,14.28,92.21,1.207,18.28,0.0,3
3,300,13.45,22.3,22.06,98.15,3.5,17.788,0.6362,3
18,285,150.89,26.68,31.13,77.19,2.463,29.061,9.4318,2
22,200,0.0,11.75,12.15,92.95,1.956,30.863,0.0583,4
20,200,3.9,13.63,13.0,98.19,5.255,5.508,4.8451,1
2,75,0.0,19.53,19.92,97.77,2.846,30.2,0.1715,2
0,27,15.32,24.0,24.44,94.58,5.178,28.654,0.7311,4
17,313,215.19,30.24,37.17,68.99,1.376,29.483,12.3337,2
7,90,294.45,24.91,34.58,66.14,3.399,28.989,7.27,4
2,140,9.63,16.47,16.93,93.03,1.201,29.664,0.8609,2
17,22,232.13,28.9,36.37,68.39,3.001,28.338,9.8836,0
1,136,9.95,15.96,16.91,96.66,1.305,29.775,0.0825,2
11,345,491.51,33.46,48.5,43.34,1.932,29.147,15.0,0
4,354,0.0,22.65,22.31,93.55,2.12,29.702,0.452,0
1,195,1.17,16.12,14.81,100.0,3.01,28.435,0.0452,2
3,55,16.17,21.05,21.44,95.84,1.941,28.322,0.5864,2
15,240,621.42,24.7,44.27,46.04,0.982,17.492,15.0,3
9,27,394.74,32.01,43.23,48.28,3.157,28.642,15.0,2
16,313,297.09,29.87,39.54,57.79,1.671,31.235,15.0,2
12,360,523.75,32.0,48.31,39.82,1.66,30.04,15.0,0
21,360,12.97,26.35,27.33,93.37,0.727,28.823,0.9817,0
4,19,34.47,23.97,24.07,92.66,1.711,28.805,0.8213,4
9,53,473.39,27.72,42.84,49.56,0.1,27.106,15.0,2
6,344,167.81,28.76,32.54,83.73,2.331,29.136,3.4208,4
21,352,13.51,24.18,26.01,100.0,4.678,28.529,0.2645,2
14,184,897.91,22.75,49.5,37.54,4.547,31.822,15.0,2
16,93,423.54,23.86,37.4,52.98,6.092,29.157,15.0,2
10,119,800.69,26.37,52.58,41.73,2.8,30.561,15.0,2
4,78,5.74,19.84,20.5,91.41,4.055,27.939,0.0329,0
17,255,328.58,24.67,35.51,68.46,2.145,28.375,12.6988,0
5,212,7.53,17.58,18.9,87.61,2.798,27.258,0.1141,2
3,140,0.0,13.39,11.9,95.22,0.928,28.421,0.0652,2
7,295,237.1,31.04,38.84,65.09,0.243,17.785,9.652,3
7,360,172.25,32.3,37.32,73.0,1.547,29.943,4.4204,4
8,203,527.66,24.06,42.75,58.99,1.091,28.592,15.0,2
17,47,254.89,25.66,34.03,67.22,2.682,30.033,10.2024,0
0,50,0.31,23.22,23.21,98.53,3.793,29.76,0.0,2
2,199,15.74,14.52,14.97,98.72,5.394,29.635,0.0931,4
3,275,16.12,23.43,23.41,100.0,1.387,29.969,0.3828,2
21,166,0.07,14.79,14.96,93.04,1.802,28.345,0.0156,2
11,144,989.41,25.06,56.59,33.54,2.607,29.355,15.0,2
13,327,529.86,28.42,44.31,34.83,2.028,3.474,15.0,1
14,122,830.83,26.03,51.82,32.68,1.73,30.505,15.0,2
13,142,946.5,21.1,50.94,34.98,3.997,32.117,15.0,4
7,168,367.89,20.86,32.36,63.01,4.271,29.464,15.0,2
11,116,918.63,23.54,52.67,34.01,6.789,31.462,15.0,2
17,7,181.38,28.73,33.57,67.9,5.608,4.778,8.8061,1
9,164,700.78,22.51,44.54,46.47,2.685,30.755,15.0,4
9,361,386.44,32.57,43.65,51.4,4.013,29.698,15.0,2
8,41,315.11,27.21,37.82,61.99,0.89,30.495,15.0,2
7,53,249.87,26.9,34.75,67.52,3.082,28.126,14.6261,2
3,273,11.93,20.66,21.7,95.25,0.892,28.876,0.6463,2
0,186,8.25,15.12,15.29,92.69,3.442,5.431,0.6045,1
22,94,2.38,17.33,16.92,98.22,2.339,27.438,0.0,4
12,235,874.63,24.98,52.29,33.0,3.799,30.298,15.0,2
13,100,855.25,28.29,55.41,35.67,0.053,29.783,15.0,2
5,114,0.0,19.13,20.48,88.12,0.932,28.431,0.0748,4
12,102,867.38,26.61,54.17,32.75,3.523,4.713,15.0,1
5,269,4.06,21.01,20.07,86.92,2.501,27.575,0.079,2
7,145,381.08,19.45,32.24,64.86,0.587,27.585,15.0,2
9,157,728.38,23.0,44.96,44.8,2.335,6.214,15.0,1
6,154,241.66,15.72,22.55,78.8,2.508,29.322,15.0,2
1,241,3.85,17.35,16.45,93.11,2.034,28.899,0.0,4
17,167,377.69,20.25,31.97,69.64,1.4,30.076,15.0,2
13,188,1042.23,23.96,56.33,30.25,2.997,30.591,15.0,2
14,5,469.59,33.17,47.92,40.34,1.868,28.296,15.0,2
0,199,10.17,16.11,16.29,95.35,0.674,28.333,0.0171,4
13,316,543.87,30.42,47.2,38.1,2.641,29.599,12.1401,4
14,71,618.54,28.85,47.76,39.48,2.859,27.814,15.0,2
10,88,686.17,28.66,49.02,40.81,0.513,30.256,15.0,2
21,45,3.65,21.33,21.94,96.09,3.596,28.858,0.012,4
6,347,124.61,27.54,31.59,79.7,0.354,28.101,7.0649,2
12,324,548.28,33.6,51.6,37.6,1.688,29.642,15.0,2
19,335,8.74,25.42,25.5,87.87,0.744,27.8,0.0,4
8,217,490.11,21.53,36.82,54.25,4.569,29.087,15.0,2
