hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,power_W
12,28,596.3,31.4,49.19,39.63,3.269,659.71
8,112,487.32,23.43,38.31,53.49,1.888,850.23
5,170,36.59,15.27,16.89,85.17,0.967,22.47
12,102,867.38,26.61,54.17,32.75,3.523,144.73
1,363,4.46,23.93,24.18,99.81,2.612,5.58
0,63,10.82,21.49,22.54,100.0,3.993,6.62
23,56,1.0,21.92,20.61,93.64,5.296,21.36
5,247,0.0,20.36,19.7,87.71,4.32,19.86
14,213,839.78,25.17,52.2,38.0,1.484,562.01
10,140,863.6,22.42,48.74,39.69,2.265,960.11
9,342,372.0,30.71,43.31,47.1,0.613,635.76
3,90,9.42,17.1,16.75,98.46,2.458,11.78
5,88,2.83,22.34,21.87,89.2,1.731,1.77
2,254,1.69,16.49,16.18,90.34,0.305,0.0
0,269,12.81,20.13,21.41,96.68,2.52,0.0
6,33,123.48,25.32,29.62,78.31,0.51,220.13
23,220,7.16,12.88,12.76,94.55,4.282,23.66
4,335,1.88,20.4,20.57,93.12,1.163,3.48
8,76,376.93,24.92,36.61,55.28,2.74,453.05
1,147,0.0,12.76,12.5,93.29,2.034,0.0
23,29,46.16,21.58,22.27,96.23,0.824,101.02
17,187,382.5,21.34,34.68,68.79,3.235,270.21
3,197,0.0,15.05,15.02,90.26,1.404,0.0
0,353,1.73,25.09,25.2,100.0,3.579,0.0
7,230,324.75,23.59,33.62,65.88,2.402,252.75
6,288,208.89,28.22,34.95,81.56,1.553,127.0
10,11,444.48,32.88,45.79,37.29,2.422,279.71
23,282,12.61,20.4,21.06,97.14,0.585,33.51
18,168,263.92,18.75,27.84,76.73,2.416,197.42
6,169,276.97,16.66,24.79,74.32,4.999,218.24
13,230,895.2,26.08,53.86,33.08,1.631,1404.73
6,199,267.28,18.82,27.8,74.63,1.26,284.75
18,217,209.83,19.2,25.48,74.05,3.349,250.66
4,285,10.14,21.52,21.55,93.95,1.56,7.49
14,324,500.3,30.35,45.03,43.94,3.74,573.71
20,256,10.78,20.78,20.15,93.83,2.468,7.08
13,166,1005.22,22.71,53.73,31.09,6.567,1075.93
17,97,249.47,22.15,29.13,66.29,3.632,467.61
11,221,938.0,27.11,56.1,30.82,3.458,1011.62
9,54,440.85,27.73,41.19,53.39,3.7,313.51
13,15,536.79,30.92,46.68,33.74,1.122,613.74
16,29,265.75,30.69,39.46,59.35,2.16,180.21
1,265,13.2,18.51,17.66,92.33,2.951,3.16
9,63,472.79,28.35,41.24,56.35,2.385,319.03
14,136,850.62,22.21,49.8,42.05,4.789,1405.98
20,325,4.18,21.86,22.94,89.61,2.082,0.0
10,330,484.48,31.81,46.08,42.47,0.377,814.32
10,131,817.25,22.39,47.43,36.62,4.408,564.91
10,294,551.38,30.46,48.12,34.89,7.397,379.42
14,63,578.7,27.69,45.89,40.2,5.254,972.12
21,81,0.0,20.63,20.91,99.51,2.409,0.0
19,10,15.94,26.46,25.89,91.06,0.572,19.32
2,284,12.54,20.51,20.73,91.42,3.698,0.0
20,210,34.84,16.38,17.63,89.24,3.54,12.49
10,105,797.42,25.71,49.55,34.47,1.197,1278.93
12,355,540.09,34.78,50.49,41.39,4.456,857.61
12,316,587.07,32.6,51.24,36.18,4.674,930.79
20,287,5.05,24.45,24.26,90.7,2.558,24.73
7,152,370.57,20.62,32.61,61.45,3.837,296.55
4,297,29.07,22.56,24.84,93.15,2.83,0.39
19,96,5.34,22.44,21.74,87.33,2.837,0.0
2,176,10.88,15.5,16.12,88.84,2.4,50.44
8,20,294.66,30.59,40.42,55.78,0.674,197.04
13,243,863.47,26.35,53.48,32.09,2.344,1414.09
1,240,3.3,16.48,16.31,91.24,2.675,2.47
15,314,406.62,31.89,43.89,48.03,2.413,691.17
2,110,2.47,17.08,17.53,99.6,1.87,8.73
7,295,237.1,31.04,38.84,65.09,0.243,169.22
16,179,550.36,20.75,39.02,51.81,3.429,374.17
6,119,209.02,21.73,28.72,77.87,2.699,391.04
7,347,234.99,27.32,35.12,65.98,4.717,174.85
11,340,503.22,30.19,46.22,36.46,1.425,814.1
6,328,131.39,24.65,27.97,85.82,1.879,72.85
19,182,6.95,15.85,15.73,82.36,0.685,17.96
13,54,633.83,31.91,51.25,34.55,2.175,453.01
3,362,0.0,24.39,25.26,99.35,1.434,43.88
20,93,7.26,17.0,16.72,99.21,2.89,0.0
2,20,32.78,25.42,25.85,91.64,5.014,33.74
1,169,0.0,14.24,14.27,92.16,3.453,17.44
16,313,297.09,29.87,39.54,57.79,1.671,500.04
3,354,6.01,24.87,26.46,95.43,4.24,13.54
7,11,188.14,30.74,37.42,66.52,2.882,338.9
13,190,972.13,22.9,53.01,31.63,0.933,1549.07
11,63,674.07,31.59,51.15,33.75,1.214,1094.23
1,34,0.0,22.88,22.98,95.71,1.465,8.48
13,2,496.11,34.39,50.61,40.7,2.169,354.75
14,299,534.36,30.83,47.36,43.31,2.126,885.32
22,143,7.92,13.1,13.27,97.42,1.837,6.01
18,130,210.98,19.19,25.01,74.8,1.0,156.53
23,64,0.0,20.83,20.59,100.0,2.038,0.0
3,112,6.46,15.76,15.33,93.09,0.676,2.58
8,282,334.84,29.43,39.86,55.14,2.688,569.71
22,168,14.49,13.5,13.9,98.87,4.55,2.12
9,35,405.65,29.57,42.32,47.77,2.473,302.72
11,211,934.92,22.7,53.36,24.77,3.568,621.75
6,33,157.7,27.43,32.2,76.49,4.841,237.96
3,215,6.88,16.19,17.21,95.35,4.724,26.25
20,215,15.62,18.19,19.29,97.24,2.646,7.79
5,186,2.68,17.07,15.58,87.35,3.391,11.04
23,245,4.6,13.96,13.73,97.2,4.193,29.94
5,10,28.12,26.74,27.68,89.02,1.323,32.04
22,225,23.84,16.73,17.5,94.66,3.41,28.33
15,128,673.7,24.4,45.91,40.86,0.651,471.38
16,319,313.12,30.63,40.28,56.74,0.969,213.59
22,161,7.17,14.96,16.82,94.14,3.585,36.6
20,5,33.53,24.62,26.37,92.69,2.099,45.54
15,353,350.34,31.74,42.45,43.96,2.006,276.5
9,311,425.03,30.55,45.23,45.8,2.345,485.86
5,210,11.68,14.5,14.67,88.42,3.811,23.91
15,290,493.4,28.46,42.16,45.37,0.119,578.13
0,56,11.37,24.01,26.21,94.0,2.626,9.25
7,40,226.21,29.16,36.1,59.43,5.924,388.28
14,113,795.72,22.26,47.09,37.42,4.918,1262.36
17,306,209.65,26.52,33.02,61.14,2.107,238.7
22,279,31.61,18.63,18.69,96.5,3.975,13.73
17,123,329.71,20.48,30.41,64.94,0.722,404.36
13,196,1014.91,21.71,52.76,33.85,0.727,1623.43
16,249,462.32,24.67,38.01,59.0,3.403,784.01
14,342,462.78,33.17,46.44,40.79,1.758,322.79
11,280,698.07,29.04,49.68,34.32,2.827,762.7
20,46,21.06,25.8,26.34,98.85,2.342,0.0
21,58,7.46,20.69,20.86,91.81,1.443,0.0
21,28,32.61,22.27,23.13,89.47,1.306,8.29
5,300,0.0,22.94,23.84,92.16,2.352,4.97
6,85,192.31,22.36,28.64,77.04,0.875,338.15
20,248,6.8,18.31,18.29,90.13,1.584,15.5
20,142,15.51,15.73,16.39,92.84,1.0,31.26
5,143,11.16,17.44,18.63,90.09,1.759,36.85
3,89,12.14,18.07,18.15,94.72,3.508,29.59
20,277,10.98,19.17,19.05,95.27,3.607,0.0
22,197,0.0,15.26,14.77,88.47,2.062,0.0
11,269,749.98,27.12,49.5,32.55,2.987,482.54
1,152,1.86,12.11,11.68,95.59,2.812,9.03
23,4,9.38,21.85,22.9,93.98,2.488,2.13
6,328,148.58,25.68,30.64,79.36,3.143,99.35
4,125,0.0,17.16,18.27,89.88,4.171,0.0
12,7,513.88,32.3,49.49,40.23,1.912,562.7
18,249,182.04,23.57,29.65,73.84,2.775,321.73
23,288,5.63,19.89,18.87,93.47,4.065,11.88
3,148,2.17,17.69,18.2,91.96,0.796,10.38
16,149,553.75,18.95,36.8,62.61,3.419,970.55
1,82,5.79,18.92,21.03,94.6,4.2,0.0
21,165,0.0,13.49,12.12,94.42,3.826,0.0
10,219,831.85,23.47,49.21,33.42,2.947,1332.51
2,200,5.33,14.31,14.93,96.18,3.026,35.54
9,84,565.84,26.15,44.12,43.24,2.555,619.39
13,211,915.38,24.54,51.52,35.19,2.807,1483.62
17,166,385.14,18.25,30.24,68.42,1.948,714.18
8,243,471.9,24.64,39.34,62.5,2.713,353.07
8,8,264.24,26.78,35.27,52.5,1.869,419.77
12,151,1044.22,23.88,55.6,32.35,1.772,1639.94
2,106,8.94,18.28,19.01,92.99,1.776,0.0
3,202,47.78,15.5,16.18,91.63,2.566,72.7
11,98,807.64,23.55,49.02,30.14,1.534,1352.27
12,235,909.01,23.82,52.8,29.83,1.568,1470.0
6,144,222.77,18.6,24.12,77.6,4.651,35.27
17,187,369.26,17.79,27.95,65.07,4.607,671.63
17,233,297.51,24.13,34.22,61.63,0.686,211.86
20,44,14.72,27.82,28.12,94.75,2.715,0.0
1,240,6.81,17.49,16.66,94.47,0.964,17.36
1,310,0.0,19.99,18.87,93.38,1.374,0.0
14,98,703.6,25.79,46.92,41.28,2.603,1136.13
18,251,156.57,22.75,27.83,74.41,2.601,265.83
9,64,479.93,29.19,43.95,52.69,0.364,814.52
12,53,691.09,31.48,53.22,35.75,2.989,1086.04
10,93,722.57,26.32,47.68,39.06,1.902,1189.28
10,258,699.27,27.52,49.55,45.96,4.044,1132.84
23,344,10.35,22.7,22.08,92.77,2.165,0.46
7,237,338.24,22.55,31.65,63.36,0.84,587.15
17,168,365.69,22.85,34.19,65.99,4.564,627.11
23,170,5.53,10.95,11.66,95.38,5.686,20.28
0,234,0.0,19.75,19.74,98.4,0.961,5.55
16,116,481.59,25.54,41.58,60.68,1.366,830.73
23,343,0.0,20.54,19.78,96.13,1.709,0.07
6,12,103.29,29.45,33.85,77.62,2.809,175.59
0,254,5.49,17.52,17.94,88.45,2.233,14.22
6,276,159.24,26.07,32.83,78.05,3.337,137.93
6,44,178.34,27.22,32.88,76.52,1.617,218.16
21,39,0.0,22.91,23.5,91.51,2.303,20.43
11,147,984.19,22.16,52.39,34.95,1.638,1580.61
0,278,3.75,20.83,20.84,95.75,5.2,8.86
5,114,40.22,22.36,23.0,88.81,1.065,43.85
6,252,182.84,21.64,27.34,78.63,2.431,127.24
8,216,513.29,19.41,35.48,51.5,3.176,94.01
3,310,0.0,22.4,23.2,93.78,1.569,0.0
19,20,6.11,26.33,27.0,89.02,2.126,0.0
11,66,708.31,32.54,54.23,31.67,0.933,102.68
20,316,0.0,25.66,25.51,93.34,1.894,0.0
19,133,0.0,18.42,18.69,94.19,3.388,0.0
17,58,240.82,28.09,35.78,66.2,4.965,405.72
16,52,361.36,27.27,38.31,59.82,1.87,241.16
23,307,0.0,17.75,18.74,100.0,1.65,1.48
12,4,531.08,32.78,49.52,34.58,3.142,875.01
15,186,720.18,23.8,45.37,45.82,4.878,1205.11
2,233,0.0,18.63,19.25,100.0,1.534,9.42
1,11,0.0,23.17,24.04,95.2,2.627,15.08
19,78,16.36,22.98,22.66,93.42,4.24,6.89
16,89,450.38,25.34,38.83,50.9,3.944,316.74
19,184,0.0,16.14,17.21,92.49,2.941,40.28
23,155,0.0,12.41,11.85,93.84,2.814,18.25
0,307,0.0,23.24,23.35,91.03,3.167,26.11
7,175,369.73,19.47,30.8,58.21,2.77,277.08
9,49,465.42,29.23,43.14,44.51,0.55,776.87
18,164,272.78,16.84,25.17,75.19,3.391,457.93
6,334,117.29,26.08,30.0,77.89,3.551,132.6
8,48,314.11,27.98,37.4,52.61,1.665,527.85
16,194,543.29,21.19,39.8,48.06,5.185,412.04
12,47,640.77,29.69,50.75,33.36,1.928,444.19
16,340,287.37,31.36,40.3,62.11,3.708,31.11
4,26,0.0,24.04,23.87,94.46,0.415,6.83
20,138,0.0,14.13,13.64,92.31,3.426,0.0
6,104,204.67,22.32,26.85,77.94,0.827,38.68
19,272,9.8,21.8,22.35,90.86,2.385,9.71
12,266,757.36,28.65,52.09,32.56,5.64,1223.94
7,18,204.42,27.92,33.5,72.4,1.905,356.89
6,108,234.36,20.61,28.16,80.3,1.397,49.88
3,171,11.62,12.95,13.3,96.46,1.843,24.11
18,360,100.95,29.61,32.17,77.84,6.457,106.57
16,157,543.8,20.09,37.52,46.89,1.702,940.04
18,112,213.55,22.52,29.61,76.61,3.433,252.26
13,81,722.21,30.62,53.4,37.28,2.792,1191.13
12,274,762.0,27.76,49.89,33.38,4.889,1222.07
15,1,399.24,30.43,42.13,50.68,0.908,667.34
8,186,558.71,24.44,42.11,53.08,2.244,377.71
12,14,558.61,30.18,45.79,34.92,3.803,397.63
13,241,835.18,26.68,53.67,35.74,1.715,1351.33
10,296,566.85,33.04,50.45,41.2,5.576,901.47
19,231,0.0,17.47,17.32,89.65,2.849,10.66
15,106,608.94,25.84,45.57,46.91,1.025,1016.2
20,207,21.35,16.46,17.13,94.82,2.308,33.97
14,287,588.58,29.29,48.37,40.35,2.189,958.75
18,107,199.13,19.97,26.39,80.26,2.226,169.55
22,39,1.35,20.41,20.02,95.3,3.507,17.78
10,321,458.21,33.08,47.23,39.84,2.862,325.41
2,34,23.6,23.76,25.17,94.13,6.046,21.15
15,129,663.65,21.1,42.18,44.63,1.13,107.67
19,38,12.01,25.75,25.53,94.63,0.967,6.51
9,361,386.44,32.57,43.65,51.4,4.013,631.22
21,137,22.37,16.94,16.6,89.9,0.829,48.91
8,232,491.48,22.86,38.42,52.34,2.774,546.98
10,74,620.14,28.41,48.13,38.37,5.423,408.97
19,95,0.0,20.66,20.86,87.58,3.071,4.55
13,334,523.17,30.98,48.44,38.41,2.498,332.19
1,36,5.91,21.94,22.21,96.96,3.14,26.61
9,296,449.7,26.76,41.18,42.88,3.949,744.84
11,85,771.97,28.42,53.34,35.06,3.056,1240.56
3,118,0.84,16.52,15.51,96.23,3.1,2.07
13,256,769.2,27.0,50.84,28.51,1.992,873.51
7,51,232.46,26.37,34.59,68.55,0.691,389.22
20,342,0.84,24.7,24.39,93.93,1.751,20.11
12,34,593.28,31.98,50.3,36.33,1.924,958.97
13,239,844.26,25.83,51.28,29.1,1.36,1348.63
13,73,683.96,29.37,50.8,36.1,1.233,1114.1
13,30,581.79,30.2,48.21,36.24,3.53,952.02
11,340,502.73,32.12,48.72,32.24,1.71,545.99
1,307,15.01,23.61,23.8,100.0,1.061,0.0
23,251,0.0,14.67,14.9,99.98,5.37,0.0
1,134,0.0,15.87,15.56,93.47,3.165,0.0
17,211,360.92,19.81,30.71,63.09,2.226,280.16
3,251,25.44,18.82,18.48,94.68,0.895,19.43
5,181,21.84,16.76,16.46,88.96,1.226,12.79
6,344,167.81,28.76,32.54,83.73,2.331,97.45
18,353,133.7,27.47,31.45,82.03,1.116,152.56
18,174,262.88,19.39,26.77,76.45,7.486,308.82
5,310,17.33,23.95,26.23,91.92,2.216,39.74
21,16,3.99,24.1,24.21,95.13,0.708,2.54
0,264,0.0,18.57,18.46,94.31,1.228,0.0
4,81,0.32,20.28,21.66,97.07,4.359,33.59
10,293,574.86,31.13,49.78,40.69,1.248,403.35
10,147,879.73,22.54,49.95,37.76,1.283,946.64
19,315,9.92,25.19,23.6,86.96,1.523,2.16
3,193,5.96,17.18,16.73,94.0,3.819,6.02
17,173,355.11,18.97,30.27,69.06,1.241,58.78
4,306,0.28,22.72,23.47,92.03,1.224,5.23
10,197,891.35,21.45,50.12,38.15,2.798,583.94
10,362,440.65,31.49,45.61,44.55,3.681,302.71
23,154,14.91,13.6,15.09,100.0,1.632,13.0
10,217,827.13,24.28,50.17,36.68,2.108,1328.34
20,140,0.0,12.64,12.9,95.49,4.028,32.82
19,350,0.0,26.45,27.94,90.47,4.629,6.99
14,158,897.62,24.9,53.39,30.65,4.335,624.04
6,58,129.98,26.56,32.38,82.53,3.298,271.64
7,134,369.83,19.44,32.17,66.69,3.07,663.71
19,84,9.35,23.62,23.05,86.27,2.772,28.33
0,290,4.32,21.99,22.82,100.0,2.097,1.36
7,63,268.53,25.35,33.12,63.12,3.502,186.31
15,279,517.54,28.54,44.69,43.83,4.509,69.65
21,155,1.87,13.69,14.44,93.82,2.322,18.41
5,318,0.87,28.37,27.52,85.81,3.078,11.64
16,14,296.35,28.5,38.55,55.03,0.753,484.8
20,47,16.76,23.94,24.23,90.6,4.884,0.0
15,14,378.95,28.98,38.95,46.1,4.9,255.04
17,100,286.08,22.27,32.84,61.92,1.532,527.12
3,210,14.79,11.78,13.19,94.3,1.019,3.32
19,330,33.91,28.1,27.59,82.98,4.669,36.14
0,4,0.0,23.04,23.69,93.08,0.975,0.0
21,133,8.98,12.25,11.76,96.45,3.967,12.13
21,280,16.6,21.97,22.95,92.83,1.787,23.6
21,100,15.34,19.56,19.12,92.71,2.8,1.18
9,345,372.16,29.33,40.16,43.7,1.212,584.38
22,241,15.98,18.53,19.75,93.08,3.049,0.0
15,316,399.45,28.71,42.37,46.45,2.184,276.28
21,240,1.19,20.08,20.96,94.0,4.358,0.0
14,215,838.75,24.12,49.26,48.28,0.698,547.92
6,2,97.63,27.07,29.95,80.85,2.196,171.4
11,220,906.1,24.72,52.81,32.56,3.21,1481.07
6,245,193.94,19.9,26.81,73.36,1.353,355.34
2,313,0.0,23.5,23.72,93.99,2.032,0.0
16,145,539.68,22.07,38.25,55.74,5.836,626.87
18,153,271.97,20.04,28.52,73.79,2.507,205.21
16,350,277.02,28.28,37.85,56.0,4.591,501.92
16,257,413.08,24.31,37.6,54.3,3.306,723.57
8,242,480.96,27.34,40.85,59.22,1.488,781.02
8,295,353.33,27.93,38.31,60.3,1.289,621.06
7,91,278.48,25.95,35.97,68.57,2.586,516.15
23,247,4.12,14.0,12.51,97.39,2.114,0.0
3,359,3.83,25.65,24.69,94.19,1.804,0.0
21,272,8.13,19.36,19.14,91.18,2.608,13.42
8,69,369.19,27.31,37.12,57.18,2.23,608.72
23,143,0.0,14.03,13.93,94.8,4.999,7.77
18,144,261.27,19.67,27.93,84.2,1.528,180.85
10,214,825.94,22.96,48.02,36.8,1.053,1336.51
8,353,270.4,30.63,38.7,55.56,2.339,190.9
17,157,361.86,20.65,31.84,67.28,3.135,248.22
17,167,377.69,20.25,31.97,69.64,1.4,674.2
18,309,115.9,26.82,30.35,75.77,3.794,222.92
5,343,13.79,25.99,27.15,89.39,6.143,12.21
4,22,17.61,25.36,26.09,95.53,4.236,0.0
0,135,0.0,14.62,14.23,98.61,1.179,3.44
8,141,564.61,21.33,39.39,49.25,3.631,628.72
7,59,241.1,25.59,33.86,69.73,2.784,184.83
6,249,210.06,22.46,28.63,77.7,3.726,330.17
6,248,183.48,22.54,28.3,79.12,2.113,345.87
21,74,7.28,20.47,20.58,94.81,2.883,21.02
16,266,388.31,24.94,36.16,55.54,2.466,658.6
3,18,14.9,22.41,21.07,95.59,3.708,4.86
1,229,6.62,19.5,21.19,95.05,2.29,17.59
0,345,0.0,21.95,20.75,92.63,2.392,0.0
10,131,845.19,24.6,51.17,39.49,2.055,150.91
4,159,4.58,13.76,13.48,95.6,0.963,0.0
3,125,0.22,15.88,16.42,91.51,3.971,15.27
2,4,5.28,26.56,26.68,91.73,1.16,2.69
12,109,925.1,26.57,55.82,30.84,2.217,1423.82
9,258,551.5,27.44,45.18,45.95,1.421,388.83
10,229,795.13,22.59,48.83,36.22,2.653,540.59
6,120,218.79,17.96,25.23,74.72,3.92,133.43
12,229,924.22,25.33,55.3,31.52,1.939,601.88
16,97,453.88,24.04,37.41,58.56,2.02,293.23
20,323,7.31,23.36,23.03,91.86,3.258,4.4
23,10,0.0,20.11,19.59,97.87,3.458,0.81
16,170,568.68,18.81,35.25,56.75,0.989,382.46
8,246,434.27,25.36,40.41,54.71,5.572,503.68
1,241,1.34,17.15,17.57,92.43,2.103,12.71
9,148,727.64,22.14,43.62,42.0,2.119,792.81
12,215,987.35,24.08,55.93,27.63,4.182,681.4
3,311,0.0,22.38,22.87,98.22,1.909,6.27
12,118,943.19,25.04,54.99,33.25,1.723,1497.91
23,187,0.37,12.33,12.88,100.0,1.197,14.95
17,91,280.51,24.92,34.3,69.15,2.851,519.31
7,122,359.34,21.33,32.42,59.88,3.143,603.3
13,191,990.49,25.1,58.04,31.52,1.741,1542.15
15,351,357.96,28.24,40.92,49.1,2.509,604.02
0,259,0.0,19.53,19.92,95.23,4.313,3.34
20,289,1.1,23.68,24.4,90.01,3.126,42.59
10,143,843.93,24.06,48.72,40.82,1.09,910.03
20,13,1.91,23.15,24.06,95.21,1.621,15.9
5,191,0.0,14.18,15.18,85.97,1.308,7.42
22,169,5.36,12.47,11.95,93.04,2.134,3.83
10,131,830.9,20.61,46.08,35.04,3.069,131.77
2,346,2.29,23.76,23.94,95.49,1.648,0.86
14,122,818.48,22.31,47.96,38.23,2.769,1336.15
15,110,623.41,27.31,46.26,47.98,1.841,711.7
0,313,8.95,20.21,20.22,88.86,4.616,0.0
9,104,605.73,23.99,42.66,43.24,1.87,1005.92
14,168,875.31,22.04,50.51,38.22,2.893,1460.72
11,188,1030.28,24.88,57.53,29.86,1.577,1582.07
4,133,23.91,15.5,17.42,93.47,3.03,33.46
13,77,739.95,30.02,52.72,37.9,2.859,815.36
1,321,8.86,24.42,25.21,94.09,2.922,0.0
9,6,381.47,32.05,44.53,45.83,3.946,52.51
20,146,0.0,16.79,16.66,96.4,0.845,7.15
17,319,222.42,28.18,35.68,67.18,2.864,342.86
6,93,211.49,21.92,29.73,77.41,2.167,243.6
11,99,812.75,29.12,54.33,33.9,1.846,516.28
7,132,347.51,23.98,34.21,67.01,1.476,609.52
17,79,246.57,25.25,32.5,64.29,3.153,456.9
3,222,10.08,16.46,17.14,96.29,4.411,18.11
1,318,0.0,20.41,20.18,93.61,3.6,6.18
12,225,940.09,24.58,54.29,27.28,1.358,161.1
20,357,0.0,22.47,24.0,92.11,4.262,0.0
11,213,945.04,23.61,52.61,34.11,2.981,1048.43
4,236,0.0,18.09,17.32,95.7,3.745,0.0
6,107,198.68,21.25,26.19,79.39,1.225,324.91
1,285,4.45,21.73,21.72,88.64,4.143,0.0
13,149,985.29,22.04,53.21,34.84,1.835,667.84
20,341,7.93,23.89,24.9,99.65,6.283,0.0
17,23,222.01,28.27,35.41,71.94,1.177,163.86
3,354,0.0,24.37,25.12,90.7,3.236,0.0
14,165,905.05,22.7,50.24,37.49,2.757,996.21
11,279,695.33,26.78,47.89,30.89,3.352,1115.56
10,69,618.84,28.81,48.08,39.83,4.549,1009.15
18,29,136.47,26.54,30.71,75.84,1.357,225.53
14,71,618.54,28.85,47.76,39.48,2.859,1010.92
15,14,376.8,31.51,42.58,52.13,3.954,41.23
4,160,0.0,14.32,14.12,95.56,3.4,12.86
20,95,2.96,19.76,20.53,95.45,1.298,2.37
0,207,0.0,14.56,14.67,95.11,3.32,0.0
23,203,46.61,13.47,13.86,95.59,2.529,41.2
9,291,480.86,30.57,46.49,52.05,0.311,539.51
22,352,16.51,24.16,25.07,90.83,2.88,0.58
16,64,401.82,30.19,44.18,61.06,1.473,686.89
22,170,12.53,12.63,11.98,100.0,1.12,15.49
14,70,630.47,29.35,50.41,38.46,3.838,1021.47
5,324,14.4,24.97,26.01,86.11,3.966,44.66
16,107,482.69,21.73,36.93,55.5,3.965,537.52
19,224,0.0,19.19,18.28,86.98,1.583,1.71
18,209,231.47,19.68,27.46,73.32,1.278,380.45
13,156,987.44,25.2,55.88,32.44,5.363,1550.74
11,294,640.37,28.03,46.89,36.41,3.513,1038.72
17,309,220.97,28.64,35.33,67.51,3.404,179.62
23,209,3.47,15.6,15.94,98.8,4.504,10.38
2,20,0.0,23.19,23.25,92.34,4.102,1.29
23,214,31.55,14.59,15.29,97.43,3.696,7.3
20,175,5.12,14.46,14.46,93.33,1.875,4.46
11,240,884.77,25.59,52.54,35.48,3.501,952.73
22,141,3.21,13.97,14.51,92.46,3.347,8.14
16,334,262.4,29.29,37.8,58.19,0.716,306.91
11,278,706.49,31.78,53.26,30.75,5.761,757.41
1,360,12.34,24.7,24.69,94.66,3.051,0.0
4,61,0.0,20.5,19.14,99.59,2.58,0.0
6,165,217.05,18.12,24.45,78.94,1.817,279.17
6,201,246.01,18.96,26.68,84.79,2.563,420.14
0,168,4.51,12.16,12.55,100.0,1.171,3.06
15,352,402.47,30.63,42.58,48.98,5.081,276.37
6,312,144.89,28.19,32.56,77.7,3.302,162.69
18,115,201.33,21.64,26.84,74.55,3.098,358.97
10,25,476.4,32.15,47.24,45.7,5.526,761.59
4,339,7.48,22.43,22.57,88.14,2.591,0.0
15,268,537.86,27.6,45.26,49.79,1.821,394.12
19,76,8.92,21.0,21.94,90.88,5.654,11.23
22,169,0.0,14.9,15.83,93.24,3.91,7.92
19,141,0.0,17.19,15.57,85.24,0.18,0.0
18,252,201.26,20.85,25.64,77.59,3.423,391.39
6,59,143.47,25.38,29.2,74.14,0.952,131.15
20,63,4.74,23.69,24.0,99.76,1.602,7.21
6,357,76.64,29.68,31.54,75.86,3.339,127.83
23,141,0.0,13.11,13.04,98.39,4.129,0.0
6,210,252.89,20.81,29.76,75.61,5.788,76.45
23,180,0.0,10.71,10.03,100.0,2.111,3.52
8,165,556.03,19.08,36.38,51.56,3.428,953.04
7,316,234.49,29.87,36.59,69.94,3.823,386.18
20,35,8.13,25.29,25.06,99.65,0.285,21.41
8,140,533.16,23.81,42.1,51.53,1.467,918.3
6,318,164.52,25.5,29.76,78.62,4.945,92.37
22,315,0.0,22.09,21.24,97.32,1.382,4.87
8,144,522.44,22.98,39.52,51.2,0.558,615.24
3,207,0.0,12.52,13.6,100.0,1.878,7.6
4,351,1.92,23.58,24.26,92.21,3.401,19.16
