hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,power_W,condition
14,222,803.58,26.67,50.94,40.97,1.648,30.906,15.0,547.34,partial_shading
1,55,9.12,20.07,19.63,96.65,2.639,29.318,0.0,8.4,normal
11,358,479.07,32.36,47.39,38.53,0.996,28.311,15.0,541.52,dirty_panels
0,168,4.51,12.16,12.55,100.0,1.171,29.602,0.475,3.06,normal
0,353,1.73,25.09,25.2,100.0,3.579,28.761,0.0,0.0,normal
10,362,440.65,31.49,45.61,44.55,3.681,30.928,9.8045,302.71,partial_shading
17,19,177.85,28.27,33.64,63.64,4.051,30.653,4.7217,156.43,partial_shading
21,185,10.52,13.75,13.46,94.67,0.676,17.109,0.0,0.03,panel_failure
2,155,10.34,14.31,15.54,92.5,0.888,27.376,0.2446,7.8,normal
5,182,16.25,15.2,14.18,89.12,2.896,29.23,0.776,21.48,partial_shading
10,114,765.45,21.33,44.78,35.46,3.344,4.032,15.0,144.46,inverter_failure
13,204,945.92,24.28,52.88,28.49,0.633,31.983,15.0,647.19,partial_shading
23,180,0.0,9.19,9.04,88.21,2.906,30.244,0.0752,0.0,normal
16,68,382.0,28.11,39.71,57.28,6.091,30.541,14.9037,450.95,dirty_panels
12,106,911.53,28.23,56.94,24.54,5.418,30.184,15.0,605.04,partial_shading
1,54,0.0,20.98,21.17,94.04,2.33,18.056,0.4756,3.16,panel_failure
1,308,3.93,24.43,23.45,97.08,2.345,28.248,0.0,0.0,partial_shading
3,248,0.73,17.67,17.22,92.83,2.419,28.814,0.1864,0.0,partial_shading
15,142,702.1,24.74,46.52,41.54,2.056,30.102,15.0,467.82,partial_shading
7,145,381.08,19.45,32.24,64.86,0.587,27.585,15.0,694.33,normal
5,29,0.0,22.34,24.17,86.57,1.47,27.99,0.0185,9.63,normal
16,106,454.93,23.52,38.62,56.06,1.282,32.004,15.0,554.2,dirty_panels
19,338,25.38,29.36,29.76,85.4,5.051,4.104,2.9273,10.74,inverter_failure
10,12,466.45,32.84,47.13,42.48,2.385,29.879,9.9315,298.09,partial_shading
21,54,3.43,20.85,21.24,93.84,3.149,15.29,0.4347,0.1,panel_failure
17,309,220.97,28.64,35.33,67.51,3.404,28.842,5.9025,179.62,partial_shading
17,190,394.04,21.3,33.68,70.07,1.246,29.606,15.0,670.38,normal
20,12,1.47,25.17,23.6,95.53,3.559,28.402,0.0,2.98,normal
4,179,10.95,17.98,18.48,96.47,1.205,26.523,0.2897,12.54,normal
18,274,162.81,23.48,28.48,75.55,2.283,29.929,4.0557,106.14,partial_shading
22,126,0.0,16.25,16.17,95.67,1.534,3.85,1.4618,16.96,inverter_failure
23,140,0.0,14.19,15.44,94.1,2.109,27.646,0.0051,4.79,normal
13,231,923.83,24.16,51.95,32.49,3.13,30.226,15.0,621.79,partial_shading
18,219,239.29,19.25,26.98,78.33,3.749,30.782,14.2328,433.86,normal
21,330,10.66,25.49,26.22,93.43,1.748,28.038,0.3736,5.07,dirty_panels
20,91,14.11,20.0,20.53,93.61,0.911,4.007,0.6903,6.75,inverter_failure
21,101,0.0,18.2,16.99,93.54,4.157,33.127,0.0546,9.1,normal
19,57,0.0,21.53,22.55,87.54,0.527,29.432,0.0308,15.14,dirty_panels
9,243,608.89,25.97,45.24,46.45,0.755,16.601,15.0,397.41,panel_failure
17,195,396.35,20.42,32.32,63.95,2.841,30.469,15.0,671.01,normal
9,127,668.4,23.02,43.53,49.79,2.472,30.904,15.0,740.62,dirty_panels
19,254,5.5,21.75,21.46,97.1,3.946,28.138,0.5645,0.0,dirty_panels
19,138,31.69,17.22,17.35,86.86,0.23,27.129,2.4556,71.07,normal
22,72,0.0,18.12,18.29,95.86,1.934,29.397,0.1934,0.0,normal
14,198,898.97,22.54,50.13,39.34,2.802,31.338,15.0,1424.31,normal
11,160,1009.15,22.26,54.19,30.31,1.701,30.514,15.0,1086.46,dirty_panels
3,148,2.17,17.69,18.2,91.96,0.796,17.878,0.3577,10.38,panel_failure
15,163,721.15,23.12,46.85,49.66,3.93,31.686,15.0,510.77,partial_shading
13,334,517.91,31.09,47.61,40.25,6.579,30.642,15.0,870.56,normal
12,79,800.51,31.21,55.6,33.96,2.922,30.121,15.0,1289.74,normal
16,101,440.09,23.38,36.06,60.24,2.929,27.591,15.0,741.77,normal
20,207,0.0,16.59,18.23,97.31,2.814,28.626,0.0,2.27,partial_shading
3,18,18.14,24.76,25.68,94.65,2.142,26.991,0.9838,26.43,normal
10,54,563.73,26.67,43.9,38.24,4.047,16.632,15.0,368.63,panel_failure
17,207,356.32,20.13,32.47,64.15,5.756,30.156,15.0,600.18,normal
19,187,19.22,16.31,17.8,92.45,2.544,30.003,1.1114,31.07,dirty_panels
18,239,224.96,21.62,27.55,78.71,1.944,27.294,9.4736,261.35,dirty_panels
19,42,0.0,25.65,25.08,88.5,1.907,28.543,0.0,0.0,dirty_panels
20,312,0.0,24.27,24.27,100.0,1.227,28.789,0.0459,0.83,partial_shading
23,178,17.78,12.15,11.35,94.53,1.61,28.508,0.0,9.73,partial_shading
14,57,578.46,30.99,48.63,44.15,1.51,28.555,14.0873,398.25,partial_shading
5,114,8.83,19.74,20.34,89.69,3.505,30.135,0.4161,20.94,normal
13,84,772.86,27.63,50.68,40.43,2.163,28.99,15.0,1253.24,normal
17,166,355.21,19.85,31.43,67.75,0.542,14.889,15.0,265.94,panel_failure
2,172,0.0,16.75,17.63,95.14,1.374,16.798,0.6785,0.0,panel_failure
18,159,220.56,18.72,26.02,76.1,2.272,29.73,13.7018,416.77,normal
13,169,1013.79,22.08,53.73,30.93,1.743,30.562,15.0,1607.45,normal
22,332,0.0,20.03,19.52,92.82,0.406,28.03,0.2036,21.25,normal
5,351,7.97,24.84,25.46,84.96,3.853,29.328,0.2846,12.45,normal
21,179,0.0,13.73,12.85,95.93,0.901,18.239,0.0471,7.02,panel_failure
10,352,459.57,32.24,46.56,41.3,4.682,27.397,15.0,732.18,normal
13,299,590.8,29.9,48.16,35.83,2.739,30.485,15.0,957.18,normal
15,300,457.81,30.17,44.72,48.41,1.311,30.858,9.49,300.49,partial_shading
13,83,788.27,26.8,51.06,34.49,6.52,30.258,15.0,1260.78,normal
21,161,20.76,13.11,13.53,94.65,3.147,28.615,1.5279,49.36,normal
4,129,1.0,16.23,15.3,100.0,4.63,30.694,0.2401,0.0,partial_shading
17,36,227.11,30.14,37.42,69.59,4.813,28.535,5.9368,165.18,partial_shading
23,28,0.0,19.59,19.27,100.0,1.549,16.873,0.1738,3.39,panel_failure
5,228,0.0,19.51,18.87,87.74,2.016,29.131,0.0674,5.95,normal
6,154,241.66,15.72,22.55,78.8,2.508,29.322,15.0,459.67,normal
11,302,618.52,28.73,48.46,35.76,3.855,29.765,14.1735,418.76,partial_shading
17,245,313.67,22.18,31.41,64.43,1.975,29.533,8.1071,237.85,partial_shading
23,32,0.0,22.73,21.97,100.0,3.242,30.369,0.1934,7.19,dirty_panels
19,306,31.19,24.19,25.19,86.6,1.791,29.629,0.2066,15.65,normal
19,182,6.95,15.85,15.73,82.36,0.685,14.135,0.7542,17.96,panel_failure
10,207,845.95,23.34,50.35,34.95,0.64,29.619,15.0,921.01,dirty_panels
15,353,350.34,31.74,42.45,43.96,2.006,28.772,8.8273,276.5,partial_shading
5,234,6.94,18.41,18.45,86.19,2.223,29.753,0.0,0.66,normal
11,9,506.24,35.55,51.76,35.89,3.135,17.09,15.0,345.38,panel_failure
4,65,1.66,19.94,20.98,95.11,3.277,31.203,0.0,13.48,partial_shading
0,156,2.03,14.36,15.34,88.85,1.131,28.768,0.4537,24.25,normal
20,14,0.0,24.62,25.5,98.58,2.175,27.422,0.3888,15.39,normal
19,62,7.23,24.25,24.03,83.31,1.972,4.658,0.0,0.0,inverter_failure
12,289,673.71,32.0,52.42,34.46,0.668,29.354,15.0,733.7,dirty_panels
0,53,0.0,23.79,24.36,94.03,1.102,28.381,0.3051,14.48,partial_shading
2,61,1.53,19.52,20.74,97.39,5.585,27.301,0.8324,39.99,dirty_panels
2,185,0.0,15.78,17.04,95.87,0.793,28.586,0.6179,41.23,partial_shading
17,34,216.2,29.03,35.52,71.39,4.23,27.092,13.0382,348.57,normal
4,94,13.05,19.33,19.88,93.92,4.52,28.2,0.0,7.04,partial_shading
6,343,131.66,28.1,33.01,76.51,7.794,28.251,8.7914,241.8,normal
20,231,9.27,17.75,17.86,96.24,0.61,28.298,0.0659,0.0,normal
21,352,26.8,25.8,26.79,97.68,1.746,28.09,0.6551,9.44,partial_shading
18,130,206.29,21.02,27.54,79.38,1.606,20.202,7.1908,158.62,panel_failure
7,225,325.75,23.89,33.82,66.86,3.577,30.361,15.0,595.23,normal
13,88,768.46,27.52,51.17,35.29,3.334,30.707,15.0,1266.43,normal
4,139,37.27,14.62,15.12,94.4,2.743,18.789,1.8107,35.24,panel_failure
20,64,0.0,18.4,17.2,96.23,2.652,28.301,0.0618,3.2,normal
2,305,0.0,19.88,19.98,100.0,1.539,29.125,0.0475,3.39,normal
17,68,253.45,25.1,33.12,66.35,4.759,17.831,10.5383,180.53,panel_failure
12,75,734.54,26.84,51.26,32.46,3.299,31.478,15.0,1231.86,normal
18,170,239.35,19.56,27.9,75.13,0.777,28.543,15.0,420.03,normal
10,157,887.77,20.61,49.18,37.62,1.223,31.354,15.0,1423.58,normal
3,115,3.04,15.47,16.53,88.63,2.19,27.943,0.0,1.61,normal
18,131,235.87,18.84,25.39,76.17,5.908,28.686,6.2053,169.83,partial_shading
15,108,624.14,26.24,44.78,48.48,5.987,29.697,15.0,1060.34,normal
11,334,550.23,31.63,49.05,36.59,1.454,5.95,15.0,91.36,inverter_failure
8,212,527.93,22.56,40.31,55.04,5.618,28.783,13.2364,365.75,partial_shading
8,336,275.42,30.78,40.62,64.67,1.592,28.407,6.7619,187.45,partial_shading
11,361,515.12,34.17,50.72,39.42,2.305,29.191,15.0,844.56,normal
6,238,191.64,22.5,26.95,70.43,4.12,29.229,11.3209,321.13,normal
6,302,153.32,26.38,31.51,73.44,2.536,4.1,4.2409,13.35,inverter_failure
6,41,133.56,23.95,28.57,77.23,1.758,17.053,5.685,89.23,panel_failure
0,347,0.0,23.61,24.55,92.59,6.509,28.442,0.0912,15.56,normal
22,177,0.0,13.25,14.32,95.31,2.514,29.458,0.2803,16.41,normal
5,261,2.35,22.24,23.57,87.86,4.21,28.905,1.6811,45.89,normal
3,90,9.42,17.1,16.75,98.46,2.458,30.558,0.0027,11.78,normal
3,35,13.91,24.25,24.18,91.39,2.482,28.966,0.3626,1.53,partial_shading
23,323,0.0,21.61,22.01,94.38,2.0,17.345,0.0,0.0,panel_failure
11,165,1013.05,21.51,52.85,31.52,2.407,30.631,15.0,1126.38,dirty_panels
7,51,232.46,26.37,34.59,68.55,0.691,29.277,13.5795,389.22,normal
9,241,612.18,27.72,45.71,46.44,1.139,29.125,15.0,694.27,dirty_panels
2,20,0.0,24.32,24.85,87.72,2.236,30.324,0.3225,10.43,normal
7,165,390.05,21.21,33.57,65.38,2.671,29.265,15.0,451.88,dirty_panels
5,258,0.0,19.99,19.95,88.55,1.912,28.163,0.0,14.84,normal
19,263,0.0,20.95,20.25,91.65,4.302,28.982,0.0474,3.76,dirty_panels
1,166,20.15,13.0,11.87,96.97,6.323,27.92,0.9314,27.51,normal
10,136,868.1,23.61,50.6,37.27,4.486,31.519,15.0,951.87,dirty_panels
18,307,130.69,26.49,30.21,78.97,1.137,29.828,2.9293,89.53,partial_shading
20,68,0.0,21.02,21.85,99.06,1.82,28.931,0.1993,0.25,normal
12,28,596.3,31.4,49.19,39.63,3.269,30.568,15.0,659.71,dirty_panels
5,58,0.66,22.72,23.06,89.88,1.047,3.559,0.0298,0.0,inverter_failure
8,293,340.75,27.92,37.61,63.82,2.232,27.979,8.6261,247.01,partial_shading
5,172,0.0,18.67,19.29,87.05,1.645,17.392,0.6651,3.1,panel_failure
15,14,378.95,28.98,38.95,46.1,4.9,18.453,13.7712,255.04,panel_failure
7,62,257.13,26.71,36.09,67.16,0.587,27.263,15.0,407.39,normal
15,11,368.01,33.42,45.02,48.51,4.306,28.491,15.0,600.72,normal
15,298,466.35,29.23,41.67,40.88,2.443,28.5,15.0,523.72,dirty_panels
22,169,5.36,12.47,11.95,93.04,2.134,27.747,0.0799,3.83,partial_shading
8,25,297.95,31.22,39.3,59.34,4.045,30.692,6.5322,192.66,partial_shading
23,81,3.27,15.81,15.32,94.83,1.004,29.312,0.5243,16.79,normal
9,226,656.23,23.67,43.9,43.08,0.366,16.943,15.0,431.69,panel_failure
16,217,489.25,20.61,35.44,55.27,1.833,30.291,15.0,549.63,dirty_panels
15,300,413.67,26.84,39.18,49.4,1.686,30.712,15.0,484.05,dirty_panels
19,10,15.94,26.46,25.89,91.06,0.572,28.846,0.8837,19.32,partial_shading
11,26,555.03,30.0,48.19,35.83,2.386,31.44,15.0,919.83,normal
19,13,7.79,26.58,27.48,91.68,2.246,27.569,0.0,0.0,normal
8,144,522.44,22.98,39.52,51.2,0.558,29.803,15.0,615.24,dirty_panels
11,266,752.46,30.87,54.19,33.48,1.757,29.269,15.0,1198.41,normal
11,242,863.07,26.2,52.08,38.46,1.267,5.686,15.0,137.07,inverter_failure
16,77,416.84,27.59,40.46,53.28,3.168,30.04,9.2494,284.81,partial_shading
14,240,718.92,26.06,48.62,36.96,0.506,31.42,15.0,1166.7,normal
1,240,3.3,16.48,16.31,91.24,2.675,27.397,0.0,2.47,normal
19,70,4.43,20.03,20.57,86.46,2.127,17.099,0.7132,18.03,panel_failure
18,274,154.51,26.69,32.05,77.96,3.236,27.344,10.2727,277.8,normal
2,155,2.63,12.64,11.87,97.11,0.54,29.162,0.0732,4.3,normal
23,22,11.84,23.62,24.87,94.78,2.617,28.394,0.5735,14.42,dirty_panels
15,143,713.94,23.11,45.02,43.68,1.762,2.785,15.0,124.44,inverter_failure
2,281,21.44,19.04,21.0,90.93,4.555,28.877,0.9178,29.47,dirty_panels
11,255,809.9,27.61,53.19,31.88,1.526,28.287,15.0,1285.37,normal
20,98,2.4,22.4,23.88,90.36,3.265,27.14,0.0157,2.09,partial_shading
6,277,168.82,26.81,32.82,79.75,3.527,29.211,4.2786,116.07,partial_shading
22,143,7.92,13.1,13.27,97.42,1.837,29.266,0.0073,6.01,partial_shading
10,168,878.44,21.35,48.51,36.27,2.253,28.357,15.0,1440.97,normal
5,32,5.86,25.87,25.34,90.38,5.871,28.717,0.0826,0.0,normal
8,364,276.87,30.43,39.53,60.95,2.488,28.339,7.4963,204.49,partial_shading
12,307,615.63,33.22,52.4,36.15,2.79,28.91,15.0,962.04,normal
16,72,412.14,27.6,39.65,60.68,3.201,16.699,15.0,258.88,panel_failure
22,205,3.35,11.51,12.79,91.61,2.44,5.251,0.6996,0.0,inverter_failure
4,285,10.14,21.52,21.55,93.95,1.56,28.093,0.4491,7.49,normal
23,185,33.22,12.17,13.86,93.08,3.104,16.629,2.7956,50.36,panel_failure
12,77,766.91,28.38,51.84,35.33,4.632,30.464,15.0,509.01,partial_shading
3,354,0.0,24.37,25.12,90.7,3.236,28.449,0.1651,0.0,normal
22,99,0.0,18.51,18.89,99.34,3.985,27.862,0.074,19.8,normal
8,123,499.33,23.88,40.25,56.76,2.398,29.482,15.0,851.92,normal
14,136,850.62,22.21,49.8,42.05,4.789,30.171,15.0,1405.98,normal
16,326,285.2,30.06,38.6,58.25,1.019,3.146,9.8991,31.34,inverter_failure
0,183,5.78,13.42,13.29,93.35,3.209,28.552,0.0161,6.21,dirty_panels
5,263,1.9,19.46,20.79,91.03,0.469,28.965,0.2785,1.33,normal
16,329,262.47,30.1,38.62,61.4,1.939,29.31,10.7416,292.51,dirty_panels
7,339,193.71,32.19,39.15,65.73,3.281,30.029,11.7883,347.56,normal
0,313,8.95,20.21,20.22,88.86,4.616,30.404,0.0221,0.0,partial_shading
0,332,17.28,23.59,22.74,89.26,2.114,28.82,1.1572,32.95,normal
19,347,7.85,26.87,25.95,89.84,1.77,28.178,0.4582,17.41,normal
3,362,0.0,24.39,25.26,99.35,1.434,27.399,1.0861,43.88,normal
2,235,0.0,15.22,15.74,91.1,2.052,29.446,0.0248,0.26,dirty_panels
13,49,611.19,28.31,47.5,36.31,1.637,29.106,15.0,967.15,normal
2,42,0.0,20.03,20.88,93.95,1.873,31.148,0.0966,2.29,normal
15,291,458.06,30.99,45.72,54.08,3.623,5.516,15.0,90.86,inverter_failure
13,116,904.28,23.52,51.62,39.2,3.289,30.422,15.0,1474.53,normal
15,294,453.4,28.47,42.8,49.86,1.256,3.803,15.0,63.05,inverter_failure
11,342,498.61,35.89,51.73,41.35,1.454,30.459,15.0,793.09,normal
18,236,214.37,19.97,25.96,79.53,2.291,31.309,11.741,359.82,normal
15,279,517.54,28.54,44.69,43.83,4.509,4.549,15.0,69.65,inverter_failure
9,102,614.26,26.5,45.41,48.3,2.432,16.039,15.0,396.01,panel_failure
0,159,0.0,15.65,15.19,91.94,2.421,26.951,0.6607,9.68,normal
6,353,96.58,26.34,29.35,77.98,4.589,27.547,3.6666,100.1,dirty_panels
3,299,0.0,20.82,21.88,98.42,1.593,29.109,0.0176,0.13,partial_shading
0,75,34.1,19.95,21.54,94.98,4.236,6.343,0.8259,5.19,inverter_failure
6,342,121.77,31.11,35.12,81.45,6.096,28.981,3.0164,78.31,partial_shading
4,183,8.79,12.95,12.99,98.9,5.644,29.249,0.0161,2.71,normal
1,309,22.57,21.8,21.31,89.45,4.399,17.377,0.9625,8.7,panel_failure
7,191,361.24,20.5,33.18,58.94,1.668,30.75,15.0,651.12,normal
12,221,981.21,25.61,57.11,33.74,7.203,30.144,15.0,1529.59,normal
4,60,30.94,21.77,22.99,98.29,3.463,27.979,1.1219,37.3,normal
6,124,223.2,18.68,23.94,77.43,1.635,30.299,5.6512,176.81,partial_shading
0,264,0.0,18.27,18.3,96.18,2.355,29.254,0.045,0.0,normal
1,308,27.61,22.81,23.78,97.16,1.507,29.457,2.2854,58.97,normal
3,33,8.48,24.56,25.25,97.54,5.001,28.15,0.0,6.02,partial_shading
10,29,486.33,30.94,45.93,41.42,1.573,30.419,15.0,542.0,dirty_panels
15,253,596.61,25.78,44.1,49.24,2.316,28.889,15.0,982.65,normal
18,164,272.78,16.84,25.17,75.19,3.391,29.55,15.0,457.93,normal
15,310,438.37,33.09,46.07,49.47,3.559,29.78,15.0,483.8,dirty_panels
14,25,491.4,31.73,46.19,43.14,4.319,29.871,15.0,776.55,normal
22,128,0.0,16.24,16.54,92.35,1.559,29.591,0.0662,0.0,normal
6,13,113.58,27.98,32.35,76.15,2.192,27.996,6.4783,172.51,normal
19,259,20.48,21.76,22.68,95.61,2.32,29.497,0.1769,22.7,partial_shading
22,314,11.52,19.84,20.65,92.32,4.197,28.821,0.1653,12.91,normal
13,58,674.72,26.53,47.33,37.34,4.07,29.337,15.0,1072.8,normal
20,119,0.14,19.48,20.6,96.74,2.352,27.478,0.047,0.0,normal
3,309,7.43,22.66,21.35,94.84,1.945,19.246,0.0,4.93,panel_failure
21,16,0.0,24.2,25.71,97.01,3.419,18.249,0.977,9.72,panel_failure
13,348,530.85,30.94,48.73,39.42,5.864,29.48,15.0,845.6,normal
5,324,14.4,24.97,26.01,86.11,3.966,27.701,1.784,44.66,normal
1,56,10.47,22.66,23.28,96.61,1.862,29.889,0.3025,1.92,partial_shading
17,51,254.5,29.66,37.32,65.62,2.274,30.303,9.2953,289.62,dirty_panels
10,253,723.16,25.6,47.77,44.19,2.527,31.047,15.0,501.76,partial_shading
7,4,209.54,30.46,36.01,69.34,2.431,29.124,11.4336,331.51,normal
9,185,708.55,22.1,43.93,42.65,1.739,30.951,15.0,492.39,partial_shading
23,25,0.0,21.22,21.64,96.03,1.641,27.976,0.0,13.09,dirty_panels
10,194,869.25,25.54,52.86,33.95,4.233,30.746,15.0,1377.65,normal
1,128,0.0,14.69,16.18,95.77,3.794,28.746,0.0841,17.64,partial_shading
6,258,206.99,24.74,31.31,76.21,5.978,29.483,5.1153,148.53,partial_shading
3,322,1.99,23.81,22.87,92.44,3.435,16.158,0.0571,0.0,panel_failure
16,179,550.36,20.75,39.02,51.81,3.429,15.625,15.0,374.17,panel_failure
19,235,0.0,21.72,20.81,96.36,3.914,30.419,0.0,15.85,normal
20,220,0.0,17.71,17.29,95.27,6.193,27.65,0.2739,4.85,partial_shading
15,360,368.56,31.52,43.11,48.49,1.719,30.106,8.6694,273.16,partial_shading
18,85,224.96,25.04,32.08,74.96,1.665,27.743,6.3731,182.88,partial_shading
10,88,686.17,28.66,49.02,40.81,0.513,30.256,15.0,1126.76,normal
15,139,731.0,24.28,45.96,42.66,4.011,28.027,15.0,799.4,dirty_panels
2,269,0.0,13.66,12.55,91.72,3.62,28.508,0.3207,9.9,normal
12,316,587.07,32.6,51.24,36.18,4.674,29.475,15.0,930.79,normal
13,102,867.21,26.38,54.28,33.11,1.892,31.685,15.0,577.45,partial_shading
0,41,0.0,22.11,21.19,93.75,3.144,30.468,0.0,0.66,dirty_panels
13,223,917.57,25.57,54.65,29.92,4.138,32.304,15.0,617.2,partial_shading
17,219,362.99,21.54,33.82,64.21,0.741,30.699,15.0,478.87,dirty_panels
8,137,505.77,22.64,38.49,53.24,1.694,29.929,15.0,611.88,dirty_panels
13,68,716.45,28.54,49.47,33.6,3.821,30.623,15.0,1187.75,normal
6,311,124.52,29.24,32.4,78.93,2.35,29.437,5.2059,157.07,dirty_panels
6,309,168.36,28.05,32.58,84.29,3.876,27.939,10.1066,293.84,normal
3,273,0.0,20.65,21.93,98.93,3.824,29.954,0.1648,10.19,normal
7,212,367.81,21.48,32.75,71.32,2.581,30.217,9.1177,287.83,partial_shading
19,96,5.34,22.44,21.74,87.33,2.837,29.54,0.0296,0.0,normal
22,148,2.7,15.21,15.32,100.0,2.486,16.761,0.0,0.0,panel_failure
15,25,405.19,30.62,42.04,49.99,6.34,30.046,15.0,453.34,dirty_panels
14,92,704.95,27.93,50.35,42.07,1.63,21.202,15.0,457.65,panel_failure
14,165,905.05,22.7,50.24,37.49,2.757,30.594,15.0,996.21,dirty_panels
11,160,1003.36,25.83,56.44,30.17,4.022,30.298,15.0,1574.04,normal
10,30,474.64,32.89,48.03,44.72,1.764,28.389,15.0,774.89,normal
14,350,410.09,31.45,45.93,44.82,2.456,28.209,10.416,290.62,partial_shading
18,98,169.52,25.37,32.42,72.1,0.724,29.3,10.0863,294.41,normal
9,186,729.05,18.68,40.75,43.91,2.994,30.028,15.0,1233.43,normal
13,170,985.89,23.81,54.32,33.95,3.308,30.532,15.0,1055.81,dirty_panels
11,172,1009.86,21.81,53.83,31.84,3.221,32.354,15.0,1623.44,normal
6,309,141.93,29.7,34.97,79.3,1.277,15.528,6.1088,88.9,panel_failure
6,273,167.83,24.55,28.24,75.19,1.504,28.795,10.6064,311.98,normal
1,317,13.71,21.8,22.07,95.67,2.054,30.507,0.2716,4.23,normal
10,139,866.45,22.79,49.28,36.51,3.488,30.206,15.0,594.5,partial_shading
17,97,249.47,22.15,29.13,66.29,3.632,29.405,15.0,467.61,normal
16,157,525.12,20.45,36.23,52.41,3.098,29.699,15.0,632.91,dirty_panels
23,205,0.0,12.6,12.37,97.65,3.75,29.519,0.1348,12.16,dirty_panels
0,123,22.32,14.55,15.36,95.67,3.696,26.794,1.6195,34.09,dirty_panels
18,168,263.92,18.75,27.84,76.73,2.416,29.13,6.9015,197.42,partial_shading
19,56,1.26,24.65,24.92,95.21,2.681,28.854,0.0269,3.48,normal
10,214,837.84,22.16,48.84,38.65,2.887,29.463,15.0,1352.71,normal
6,261,159.67,20.65,25.67,81.2,1.852,29.464,6.8078,188.34,dirty_panels
8,193,555.41,21.53,38.52,54.91,0.53,17.77,15.0,402.36,panel_failure
16,319,313.12,30.63,40.28,56.74,0.969,29.878,7.1923,213.59,partial_shading
20,364,1.13,26.69,27.38,91.74,2.927,30.59,0.4381,13.21,normal
15,331,368.43,32.11,44.79,50.26,5.61,29.128,15.0,613.61,normal
12,34,627.03,33.96,53.2,27.72,3.73,19.553,15.0,381.4,panel_failure
15,322,413.03,32.42,44.52,49.93,6.437,30.095,15.0,465.49,dirty_panels
1,122,29.47,19.76,20.55,95.69,4.954,28.599,0.6266,21.73,normal
14,165,886.74,27.09,55.48,35.58,3.285,31.728,15.0,1401.59,normal
1,151,0.0,11.69,12.61,94.72,3.822,29.088,0.279,0.0,normal
23,104,3.69,12.07,11.92,91.07,0.166,3.449,0.0,0.0,inverter_failure
21,321,15.57,23.58,23.46,98.97,2.867,29.575,0.472,20.36,partial_shading
12,233,922.41,26.27,55.44,30.26,2.557,30.131,15.0,1439.2,normal
8,353,270.4,30.63,38.7,55.56,2.339,29.013,6.5548,190.9,partial_shading
17,349,207.86,30.64,36.76,69.48,3.795,28.965,8.1555,231.56,dirty_panels
15,154,750.64,21.52,45.7,44.43,1.883,31.022,15.0,1220.57,normal
16,266,388.31,24.94,36.16,55.54,2.466,30.663,15.0,658.6,normal
12,184,1049.29,22.29,56.35,28.0,2.581,30.721,15.0,1642.05,normal
5,181,21.84,16.76,16.46,88.96,1.226,28.594,0.145,12.79,dirty_panels
1,270,0.0,20.84,21.72,98.93,1.751,26.767,0.6381,9.95,normal
6,252,182.84,21.64,27.34,78.63,2.431,18.262,7.0752,127.24,panel_failure
